Allen Kitchen,21429,Shobha Bazar
Chittaranjan Mistanna Bhandar,23680,Shobha Bazar
Dhiren Cabin,18198667,Shobha Bazar
Fat Frog Foods,18626457,Shobha Bazar
Nalin Chandra Das & Sons,18622472,Shobha Bazar
Badsha,21162,Shobha Bazar
Makhan Lal Das & Sons,23326,Shobha Bazar
Amantran,18777830,Shobha Bazar
New Delhi Hotel,23540,Shobha Bazar
Cafe Splash,24016,Shobha Bazar
Royal Fast Food,18783484,Shobha Bazar
Cafe Coffee Day,23534,Shobha Bazar
Olio,18560522,Shobha Bazar
Kathleen,18648110,Shobha Bazar
Mio Amore,25289,Shobha Bazar
New Shanti Sweets,18649327,Shobha Bazar
Testry,18715534,Shobha Bazar
Sri Darshani,23473,Shobha Bazar
Sristi Fast Food Centre,23532,Shobha Bazar
Bosumati Fast Food Centre,22951,Shobha Bazar
Dwarka Mistanna Bhander,18134900,Shobha Bazar
Nobin Chandra Das & Sons,23075,Shobha Bazar
SriRam Sweets,23526,Shobha Bazar
Dey's Inn,25548,Shobha Bazar
Cafe 7 Days,18649307,Shobha Bazar
Aminia,25208,Shyam Bazar
Golbari,21612,Shyam Bazar
Cafe Coffee O Kobita,18420477,Shyam Bazar
Mitra Cafe,21126,Shyam Bazar
Punjabi Hotel,18825634,Shyam Bazar
Swader Pahar,18675205,Shyam Bazar
Sanghai Pure Chinese Food,21982,Shyam Bazar
Anir's,21055,Shyam Bazar
Dimpi,21996,Shyam Bazar
The Mombasa,21933,Shyam Bazar
Mr.Burger,18388305,Shyam Bazar
Tripti Snacks Bar,22447,Shyam Bazar
Sen Mahasay,24532,Shyam Bazar
Bhojohori Manna,18544030,Shyam Bazar
Amrit,24174,Shyam Bazar
Nebula Restaurant,21697,Shyam Bazar
Haridas Modak,22365,Shyam Bazar
Neelachal,22354,Shyam Bazar
Tongue Twister,21344,Shyam Bazar
Mio Amore,25263,Shyam Bazar
Chinese Wall,21984,Shyam Bazar
Nisha's Bakery,18249187,Shyam Bazar
Dilruba Restaurant,22925,Shyam Bazar
Bake Club,25220,Shyam Bazar
Dhaka Biriyani House & Restaurant,23438,Shyam Bazar
Cafe Coffee Day,18414434,Shyam Bazar
Wow! Momo On Wheels,18361644,Shyam Bazar
Hotel Priya,22016,Shyam Bazar
Just Baked,21029,Shyam Bazar
Bholanath Cabin,18456383,Shyam Bazar
Annapurna Restaurant,18636406,Shyam Bazar
Sanjibani Cabin,18621993,Shyam Bazar
Tiffin Break- A Unit Of Hangla Biral,18684946,Shyam Bazar
Dwarik Grandsons,22955,Shyam Bazar
Kathleen,22998,Shyam Bazar
Street Food Junction,22954,Shyam Bazar
Nepali Suman's Momo,23474,Shyam Bazar
Sital Ashram,25757,Shyam Bazar
Appayan Ka Hyderabadi Biryani,18862291,Shyam Bazar
Shital Fast Food,18546706,Shyam Bazar
Momo Centre,18691692,Shyam Bazar
Arzoo Biryani,18881718,Shyam Bazar
Khawab,21727,Shyam Bazar
